epoch,time,duration,event
1.0,22:21:57,30.0,Sleep_stage_?
1.0,22:22:21,3.0,Arousal - RespEvent - 1
2.0,22:22:27,30.0,Sleep_stage_?
3.0,22:22:57,30.0,Sleep_stage_?
4.0,22:23:27,30.0,Sleep_stage_?
5.0,22:23:57,30.0,Sleep_stage_?
6.0,22:24:27,30.0,Sleep_stage_?
7.0,22:24:57,30.0,Sleep_stage_?
8.0,22:25:27,30.0,Sleep_stage_?
9.0,22:25:57,30.0,Sleep_stage_?
10.0,22:26:27,30.0,Sleep_stage_?
11.0,22:26:57,30.0,Sleep_stage_?
12.0,22:27:27,30.0,Sleep_stage_?
13.0,22:27:57,30.0,Sleep_stage_?
14.0,22:28:27,30.0,Sleep_stage_?
14.0,22:28:49,0.005,Position - Left - 1
14.0,22:28:49,0.005,Treatment - None - 1
15.0,22:28:57,30.0,Sleep_stage_?
16.0,22:29:27,30.0,Sleep_stage_W
,22:29:27,,LIGHTS OUT
17.0,22:29:57,30.0,Sleep_stage_W
18.0,22:30:27,30.0,Sleep_stage_W
19.0,22:30:57,30.0,Sleep_stage_N1
20.0,22:31:27,30.0,Sleep_stage_W
20.0,22:31:35,1.0,PLM - Periodic - 1
20.0,22:31:46,0.1,PLM - Periodic - 1
21.0,22:31:57,30.0,Sleep_stage_W
22.0,22:32:27,30.0,Sleep_stage_N1
23.0,22:32:57,30.0,Sleep_stage_N1
23.0,22:33:00,19.3,RespEvent - RERA - 6
23.0,22:33:11,1.0,PLM - Periodic - 1
24.0,22:33:27,30.0,Sleep_stage_N1
24.0,22:33:34,0.3,PLM - Periodic - 1
24.0,22:33:54,1.5,PLM - Periodic - 1
25.0,22:33:57,30.0,Sleep_stage_N1
25.0,22:34:10,0.1,PLM - Periodic - 1
26.0,22:34:27,30.0,Sleep_stage_N2
26.0,22:34:32,2.0,PLM - Periodic - 1
26.0,22:34:43,1.4,PLM - Periodic - 1
26.0,22:34:54,0.8,PLM - Periodic - 1
27.0,22:34:57,30.0,Sleep_stage_N2
27.0,22:35:24,1.0,PLM - Periodic - 1
28.0,22:35:27,30.0,Sleep_stage_N2
29.0,22:35:57,30.0,Sleep_stage_N2
29.0,22:36:08,1.0,PLM - Periodic - 1
30.0,22:36:27,30.0,Sleep_stage_N2
30.0,22:36:36,1.1,PLM - Periodic - 1
31.0,22:36:57,30.0,Sleep_stage_N2
31.0,22:37:00,1.9,PLM - Periodic - 1
32.0,22:37:27,30.0,Sleep_stage_N2
32.0,22:37:39,1.6,PLM - Periodic - 1
33.0,22:37:57,30.0,Sleep_stage_N2
33.0,22:38:09,0.4,PLM - Periodic - 1
33.0,22:38:22,0.8,PLM - Periodic - 1
34.0,22:38:27,30.0,Sleep_stage_N2
34.0,22:38:34,1.4,PLM - Periodic - 1
35.0,22:38:57,30.0,Sleep_stage_N1
35.0,22:39:03,1.0,PLM - Periodic - 1
36.0,22:39:27,30.0,Sleep_stage_N2
36.0,22:39:31,1.0,PLM - Periodic - 1
37.0,22:39:57,30.0,Sleep_stage_N2
37.0,22:40:08,14.9,RespEvent - RERA - 6
38.0,22:40:27,30.0,Sleep_stage_N2
38.0,22:40:52,1.0,PLM - Periodic - 1
39.0,22:40:57,30.0,Sleep_stage_N2
39.0,22:41:06,1.0,PLM - Periodic - 1
39.0,22:41:16,0.3,PLM - Periodic - 1
40.0,22:41:27,30.0,Sleep_stage_N2
40.0,22:41:30,1.0,PLM - Periodic - 1
40.0,22:41:44,0.4,PLM - Periodic - 1
41.0,22:41:57,30.0,Sleep_stage_N2
41.0,22:41:57,1.0,PLM - Periodic - 1
41.0,22:42:08,0.9,PLM - Periodic - 1
41.0,22:42:26,0.6,PLM - Periodic - 1
42.0,22:42:27,30.0,Sleep_stage_N2
43.0,22:42:57,30.0,Sleep_stage_N2
43.0,22:43:00,0.9,PLM - Periodic - 1
43.0,22:43:08,1.0,PLM - Periodic - 1
43.0,22:43:24,2.4,PLM - Periodic - 1
44.0,22:43:27,30.0,Sleep_stage_N2
44.0,22:43:37,0.3,PLM - Periodic - 1
44.0,22:43:46,2.1,PLM - Periodic - 1
45.0,22:43:57,30.0,Sleep_stage_N2
45.0,22:44:02,1.4,PLM - Periodic - 1
45.0,22:44:14,0.4,PLM - Periodic - 1
46.0,22:44:27,30.0,Sleep_stage_N2
46.0,22:44:43,1.5,PLM - Periodic - 1
47.0,22:44:57,30.0,Sleep_stage_N2
47.0,22:45:06,0.6,PLM - Periodic - 1
47.0,22:45:24,0.5,PLM - Periodic - 1
48.0,22:45:27,30.0,Sleep_stage_N2
48.0,22:45:51,0.5,PLM - Periodic - 1
49.0,22:45:57,30.0,Sleep_stage_N2
49.0,22:46:01,0.5,PLM - Periodic - 1
49.0,22:46:18,1.9,PLM - Periodic - 1
50.0,22:46:27,30.0,Sleep_stage_N2
50.0,22:46:40,1.8,PLM - Periodic - 1
50.0,22:46:53,1.0,PLM - Periodic - 1
51.0,22:46:57,30.0,Sleep_stage_N2
51.0,22:47:12,1.0,PLM - Periodic - 1
51.0,22:47:26,1.0,PLM - Periodic - 1
52.0,22:47:27,30.0,Sleep_stage_N2
52.0,22:47:39,0.2,PLM - Periodic - 1
52.0,22:47:55,1.3,PLM - Periodic - 1
53.0,22:47:57,30.0,Sleep_stage_N2
53.0,22:48:13,0.3,PLM - Periodic - 1
54.0,22:48:27,30.0,Sleep_stage_N2
54.0,22:48:28,3.0,PLM - Periodic - 1
54.0,22:48:44,0.7,PLM - Periodic - 1
55.0,22:48:57,30.0,Sleep_stage_N2
55.0,22:49:03,1.7,PLM - Periodic - 1
55.0,22:49:21,2.2,PLM - Periodic - 1
56.0,22:49:27,30.0,Sleep_stage_N2
56.0,22:49:36,1.8,PLM - Periodic - 1
56.0,22:49:49,2.5,PLM - Periodic - 1
57.0,22:49:57,30.0,Sleep_stage_N2
57.0,22:50:06,1.2,PLM - Periodic - 1
57.0,22:50:20,1.5,PLM - Periodic - 1
58.0,22:50:27,30.0,Sleep_stage_N2
58.0,22:50:35,0.8,PLM - Periodic - 1
58.0,22:50:49,3.3,PLM - Periodic - 1
59.0,22:50:57,30.0,Sleep_stage_N2
59.0,22:51:11,0.8,PLM - Periodic - 1
60.0,22:51:27,30.0,Sleep_stage_N2
60.0,22:51:30,1.7,PLM - Periodic - 1
60.0,22:51:49,1.0,PLM - Periodic - 1
61.0,22:51:57,30.0,Sleep_stage_N2
61.0,22:52:08,0.5,PLM - Periodic - 1
61.0,22:52:22,1.0,PLM - Periodic - 1
62.0,22:52:27,30.0,Sleep_stage_N2
62.0,22:52:40,3.7,PLM - Periodic - 1
63.0,22:52:57,30.0,Sleep_stage_N2
63.0,22:52:58,3.7,PLM - Periodic - 1
63.0,22:53:06,0.3,PLM - Periodic - 1
63.0,22:53:20,0.5,PLM - Periodic - 1
64.0,22:53:27,30.0,Sleep_stage_N2
64.0,22:53:54,1.0,PLM - Periodic - 1
65.0,22:53:57,30.0,Sleep_stage_N2
65.0,22:54:04,0.3,PLM - Periodic - 1
66.0,22:54:27,30.0,Sleep_stage_N2
66.0,22:54:40,1.3,PLM - Periodic - 1
67.0,22:54:57,30.0,Sleep_stage_N2
67.0,22:54:58,0.8,PLM - Periodic - 1
67.0,22:55:07,2.2,PLM - Periodic - 1
67.0,22:55:24,2.7,PLM - Periodic - 1
68.0,22:55:27,30.0,Sleep_stage_N2
68.0,22:55:35,0.3,PLM - Periodic - 1
68.0,22:55:49,1.3,PLM - Periodic - 1
69.0,22:55:57,30.0,Sleep_stage_N2
69.0,22:55:59,0.7,PLM - Periodic - 1
69.0,22:56:20,0.3,PLM - Periodic - 1
70.0,22:56:27,30.0,Sleep_stage_N2
70.0,22:56:31,1.0,PLM - Periodic - 1
70.0,22:56:46,0.5,PLM - Periodic - 1
70.0,22:56:56,1.0,PLM - Periodic - 1
71.0,22:56:57,30.0,Sleep_stage_N2
71.0,22:57:19,1.0,PLM - Periodic - 1
72.0,22:57:27,30.0,Sleep_stage_N2
72.0,22:57:33,1.8,PLM - Periodic - 1
72.0,22:57:49,1.2,PLM - Periodic - 1
73.0,22:57:57,30.0,Sleep_stage_N2
73.0,22:57:59,1.5,PLM - Periodic - 1
73.0,22:58:17,0.7,PLM - Periodic - 1
74.0,22:58:27,30.0,Sleep_stage_N2
74.0,22:58:30,1.7,PLM - Periodic - 1
74.0,22:58:43,1.7,PLM - Periodic - 1
75.0,22:58:57,30.0,Sleep_stage_N2
75.0,22:59:01,1.2,PLM - Periodic - 1
75.0,22:59:18,2.295,PLM - Periodic - 1
76.0,22:59:27,30.0,Sleep_stage_N2
76.0,22:59:50,1.0,PLM - Periodic - 1
77.0,22:59:57,30.0,Sleep_stage_N2
77.0,23:00:19,1.2,PLM - Periodic - 1
78.0,23:00:27,30.0,Sleep_stage_N2
78.0,23:00:30,1.8,PLM - Periodic - 1
78.0,23:00:49,4.0,PLM - Periodic - 1
79.0,23:00:57,30.0,Sleep_stage_N2
79.0,23:01:06,0.7,PLM - Periodic - 1
79.0,23:01:16,1.8,PLM - Periodic - 1
80.0,23:01:27,30.0,Sleep_stage_N2
80.0,23:01:34,1.0,PLM - Periodic - 1
80.0,23:01:47,0.8,PLM - Periodic - 1
81.0,23:01:57,30.0,Sleep_stage_N2
81.0,23:02:04,2.0,PLM - Periodic - 1
81.0,23:02:22,2.0,PLM - Periodic - 1
82.0,23:02:27,30.0,Sleep_stage_N2
82.0,23:02:37,2.5,PLM - Periodic - 1
82.0,23:02:52,2.7,PLM - Periodic - 1
83.0,23:02:57,30.0,Sleep_stage_N2
83.0,23:03:14,2.2,PLM - Periodic - 1
84.0,23:03:27,30.0,Sleep_stage_N2
84.0,23:03:32,1.5,PLM - Periodic - 1
84.0,23:03:51,2.0,PLM - Periodic - 1
85.0,23:03:57,30.0,Sleep_stage_N2
85.0,23:04:10,2.7,PLM - Periodic - 1
85.0,23:04:24,1.5,PLM - Periodic - 1
86.0,23:04:27,30.0,Sleep_stage_N2
86.0,23:04:43,2.0,PLM - Periodic - 1
87.0,23:04:57,30.0,Sleep_stage_N2
87.0,23:05:00,2.8,PLM - Periodic - 1
87.0,23:05:14,0.7,PLM - Periodic - 1
87.0,23:05:21,1.7,PLM - Periodic - 1
88.0,23:05:27,30.0,Sleep_stage_N2
88.0,23:05:43,1.8,PLM - Periodic - 1
89.0,23:05:57,30.0,Sleep_stage_N2
89.0,23:05:59,2.295,PLM - Periodic - 1
89.0,23:06:16,2.295,PLM - Periodic - 1
90.0,23:06:27,30.0,Sleep_stage_N2
90.0,23:06:36,3.8,PLM - Periodic - 1
90.0,23:06:55,1.5,PLM - Periodic - 1
91.0,23:06:57,30.0,Sleep_stage_N2
91.0,23:07:23,2.8,PLM - Periodic - 1
92.0,23:07:27,30.0,Sleep_stage_N2
93.0,23:07:57,30.0,Sleep_stage_N2
93.0,23:07:58,1.2,PLM - Periodic - 1
93.0,23:08:21,1.0,PLM - Periodic - 1
94.0,23:08:27,30.0,Sleep_stage_N2
94.0,23:08:30,0.2,PLM - Periodic - 1
94.0,23:08:51,1.8,PLM - Periodic - 1
95.0,23:08:57,30.0,Sleep_stage_N2
95.0,23:09:10,1.2,PLM - Periodic - 1
96.0,23:09:27,30.0,Sleep_stage_N2
96.0,23:09:28,2.0,PLM - Periodic - 1
96.0,23:09:43,0.8,PLM - Periodic - 1
96.0,23:09:52,3.8,PLM - Periodic - 1
97.0,23:09:57,30.0,Sleep_stage_N2
97.0,23:10:05,1.8,PLM - Periodic - 1
97.0,23:10:22,0.5,PLM - Periodic - 1
98.0,23:10:27,30.0,Sleep_stage_N2
98.0,23:10:33,0.2,PLM - Periodic - 1
98.0,23:10:47,2.5,PLM - Periodic - 1
99.0,23:10:57,30.0,Sleep_stage_N2
99.0,23:11:01,2.7,PLM - Periodic - 1
99.0,23:11:14,3.2,PLM - Periodic - 1
99.0,23:11:24,1.7,PLM - Periodic - 1
100.0,23:11:27,30.0,Sleep_stage_N2
101.0,23:11:57,30.0,Sleep_stage_N2
101.0,23:12:08,0.8,PLM - Periodic - 1
101.0,23:12:18,3.8,PLM - Periodic - 1
102.0,23:12:27,30.0,Sleep_stage_N2
102.0,23:12:32,1.3,PLM - Periodic - 1
102.0,23:12:49,1.8,PLM - Periodic - 1
103.0,23:12:57,30.0,Sleep_stage_N2
103.0,23:13:08,0.8,PLM - Periodic - 1
103.0,23:13:19,1.0,PLM - Periodic - 1
103.0,23:13:25,1.0,PLM - Periodic - 1
104.0,23:13:27,30.0,Sleep_stage_W
104.0,23:13:47,1.7,PLM - Periodic - 1
105.0,23:13:57,30.0,Sleep_stage_W
106.0,23:14:27,30.0,Sleep_stage_N1
106.0,23:14:52,1.0,PLM - Periodic - 1
107.0,23:14:57,30.0,Sleep_stage_N1
107.0,23:15:26,0.3,PLM - Periodic - 1
108.0,23:15:27,30.0,Sleep_stage_N1
109.0,23:15:57,30.0,Sleep_stage_N1
109.0,23:16:00,1.0,PLM - Periodic - 1
109.0,23:16:09,12.9,RespEvent - RERA - 6
110.0,23:16:27,30.0,Sleep_stage_N1
110.0,23:16:43,15.0,RespEvent - Hypopnea - 4
111.0,23:16:57,30.0,Sleep_stage_N1
111.0,23:17:19,20.9,RespEvent - Hypopnea - 4
112.0,23:17:27,30.0,Sleep_stage_N1
113.0,23:17:57,30.0,Sleep_stage_N1
113.0,23:18:03,17.7,RespEvent - Hypopnea - 4
114.0,23:18:27,30.0,Sleep_stage_N1
115.0,23:18:57,30.0,Sleep_stage_N1
115.0,23:19:17,14.5,RespEvent - Hypopnea - 4
116.0,23:19:27,30.0,Sleep_stage_N2
116.0,23:19:53,20.2,RespEvent - Hypopnea - 4
117.0,23:19:57,30.0,Sleep_stage_N2
118.0,23:20:27,30.0,Sleep_stage_N2
118.0,23:20:34,22.7,RespEvent - Hypopnea - 4
119.0,23:20:57,30.0,Sleep_stage_N2
